SKU,Barcode,Marca,Nombre,Precio_original,Precio_+20%,Precio_tachado,Stock,Descripcion,Imagen,URL_producto,Proveedor
LK304,5030009456961,Oxford,Candado Maneta C/Alarma,112.49,134.99,124.99,+10,,https://estaticos.elmotorista.es/prod_images/oxford/505692754art/oxford/candado-maneta-c-alarma-543578_200.webp,candado-maneta-c-alarma-lk304,elmotorista.es
H0SH17ST,8430358642805,Shad,Fijacion Top Master Honda Sh125 17,43.35,52.02,48.17,9,,https://estaticos.elmotorista.es/prod_images/shad/504189405art/shad/fijacion-top-master-honda-sh125-17-262249_200.webp,fijacion-top-master-honda-sh125-17-h0sh17st,elmotorista.es
GPT.00.152.35100/B,4052572050088,Sw-motech,Kit Adaptadores Adventure-Rack Trax Adv/Ion/Evo,20.0,24.0,,7,,https://estaticos.elmotorista.es/prod_images/sw-motech/505081886art/sw-motech/kit-adaptadores-adventure-rack-trax-adv-ion-evo-447889_200.webp,kit-adaptadores-adventure-rack-trax-adv-ion-evo-gpt-00-152-35100-b,elmotorista.es
BA.26.ALP.A,8053045438248,Gpr,Baul Top Case Alpi Tech 26 Lt  Plata C/Parrilla Universal,313.39,376.07,,7,,https://estaticos.elmotorista.es/prod_images/gpr/505645947art/gpr/baul-top-case-alpi-tech-26-lt-plata-c-parrilla-universal-506150_200.webp,baul-top-case-alpi-tech-26-lt-plata-c-parrilla-universal-ba-26-alp-a,elmotorista.es
PLO1192CAM,8019606276735,Givi,Portamaletas Lateral Honda Nc750x 21 Mk Camside,204.14,244.97,247.0,6,,https://estaticos.elmotorista.es/prod_images/givi/504757527art/givi/portamaletas-lateral-honda-nc750x-21-mk-camside-412409_200.webp,portamaletas-lateral-honda-nc750x-21-mk-camside-plo1192cam,elmotorista.es
TRT.00.787.32100/B,4052572236338,Sw-motech,Anillo Deposito Pro Ng,50.0,60.0,,+10,,https://estaticos.elmotorista.es/prod_images/sw-motech/505599519art/sw-motech/anillo-deposito-pro-ng-446958_200.webp,anillo-deposito-pro-ng-trt-00-787-32100-b1,elmotorista.es
BC.WPB.00.025.10000,4052572212806,Sw-motech,"Bolsa Deposito C/Correas Pro Cross Wp 5,5l",99.98,119.98,99.99,6,,https://estaticos.elmotorista.es/prod_images/sw-motech/505599740art/sw-motech/bolsa-deposito-c-correas-pro-cross-wp-5-5l-446996_200.webp,bolsa-deposito-c-correas-pro-cross-wp-5-5l-bc-wpb-00-025-10000,elmotorista.es
TRT.00.475.12000/B,4052572024300,Sw-motech,Anillo Deposito Ion Ng,15.0,18.0,,6,,https://estaticos.elmotorista.es/prod_images/sw-motech/505599093art/sw-motech/anillo-deposito-ion-ng-446891_200.webp,anillo-deposito-ion-ng-trt-00-475-12000-b,elmotorista.es
X0SL041,,Shad,Bolsa Pierna Shad Sl04 Ng 0.5l,18.82,22.58,20.91,+10,,https://estaticos.elmotorista.es/prod_images/shad/505808626art/shad/bolsa-pierna-shad-sl04-ng-0-5l-542102_200.webp,bolsa-pierna-shad-sl04-ng-0-5l-x0sl041,elmotorista.es
X0SL861,,Shad,Mochila Shad Sl86 16l,76.51,91.81,85.0,5,,https://estaticos.elmotorista.es/prod_images/shad/505808624art/shad/mochila-shad-sl86-16l-542096_200.webp,mochila-shad-sl86-16l-x0sl861,elmotorista.es
